{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 495', 'bandwidth_kbps': '3750 Kbps', 'buffer_health_seconds': '37.52 s', 'date': 'Fri Jun 14 2024 17:14:16 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:16.40 b:0.000-56.690  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '688 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [381957.59375, 479941.53125], 'network_activity_samples': [0, 704272], 'live_latency_samples': [None, None], 'buffer_health_samples': [31.80413055419922, 37.523773193359375], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 16.399691}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 524', 'bandwidth_kbps': '3750 Kbps', 'buffer_health_seconds': '39.49 s', 'date': 'Fri Jun 14 2024 17:14:17 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:17.37 b:0.000-56.690  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [479941.53125, 479941.53125, 479941.53125, 479941.53125], 'network_activity_samples': [138, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [40.271854400634766, 40.00829315185547, 39.75393295288086, 39.49219512939453], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 17.366709}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 554', 'bandwidth_kbps': '3750 Kbps', 'buffer_health_seconds': '38.47 s', 'date': 'Fri Jun 14 2024 17:14:18 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:18.36 b:0.000-56.690  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [479941.53125, 479941.53125, 479941.53125, 479941.53125], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [39.23708724975586, 38.974159240722656, 38.719417572021484, 38.46876525878906], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 18.360928}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 584', 'bandwidth_kbps': '3750 Kbps', 'buffer_health_seconds': '37.47 s', 'date': 'Fri Jun 14 2024 17:14:19 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:19.36 b:0.000-56.690  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [479941.53125, 479941.53125, 479941.53125, 479941.53125], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [38.218299865722656, 37.96746826171875, 37.717010498046875, 37.4662971496582], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 19.360741}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 614', 'bandwidth_kbps': '4005 Kbps', 'buffer_health_seconds': '36.46 s', 'date': 'Fri Jun 14 2024 17:14:20 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:20.36 b:0.000-56.690  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '79 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [479941.53125, 479941.53125, 479941.53125, 512687.65625], 'network_activity_samples': [0, 0, 0, 80929], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [37.215850830078125, 36.96510696411133, 36.71467208862305, 36.46150588989258], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 20.361183}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 644', 'bandwidth_kbps': '7165 Kbps', 'buffer_health_seconds': '45.88 s', 'date': 'Fri Jun 14 2024 17:14:21 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:21.36 b:0.000-67.134  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [512687.65625, 836653.8125, 917178.6875, 917178.6875], 'network_activity_samples': [250064, 247251, 30549, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [39.51310729980469, 42.94790267944336, 46.13427734375, 45.883705139160156], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.058452333043975686, 'current_time': 21.361533}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 674', 'bandwidth_kbps': '7165 Kbps', 'buffer_health_seconds': '44.87 s', 'date': 'Fri Jun 14 2024 17:14:22 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:22.36 b:0.000-67.134  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [917178.6875, 917178.6875, 917178.6875, 917178.6875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [45.63265609741211, 45.37469482421875, 45.12350082397461, 44.87279510498047], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.058452333043975686, 'current_time': 22.360634}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 704', 'bandwidth_kbps': '7165 Kbps', 'buffer_health_seconds': '43.86 s', 'date': 'Fri Jun 14 2024 17:14:23 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:23.36 b:0.000-67.134  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [917178.6875, 917178.6875, 917178.6875, 917178.6875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [44.62229919433594, 44.37173080444336, 44.112823486328125, 43.86225509643555], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.058452333043975686, 'current_time': 23.361953}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 734', 'bandwidth_kbps': '7165 Kbps', 'buffer_health_seconds': '42.86 s', 'date': 'Fri Jun 14 2024 17:14:24 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:24.36 b:0.000-67.134  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [917178.6875, 917178.6875, 917178.6875, 917178.6875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [43.61153030395508, 43.36102294921875, 43.110408782958984, 42.85976028442383], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.058452333043975686, 'current_time': 24.360909}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 764', 'bandwidth_kbps': '7165 Kbps', 'buffer_health_seconds': '41.85 s', 'date': 'Fri Jun 14 2024 17:14:25 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:25.36 b:0.000-67.134  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [917178.6875, 917178.6875, 917178.6875, 917178.6875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [42.60911178588867, 42.358314514160156, 42.1077766418457, 41.849220275878906], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.058452333043975686, 'current_time': 25.361037}
