{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 472', 'bandwidth_kbps': '2309 Kbps', 'buffer_health_seconds': '32.13 s', 'date': 'Fri Jun 14 2024 16:02:09 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:15.64 b:0.000-47.581  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [295524.21875, 295524.21875, 295524.21875], 'network_activity_samples': [0, 0, 0], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [32.77424621582031, 32.50582504272461, 32.129249572753906], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 15.639073}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 501', 'bandwidth_kbps': '3236 Kbps', 'buffer_health_seconds': '31.09 s', 'date': 'Fri Jun 14 2024 16:02:10 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:16.59 b:0.000-47.581  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '138 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [295524.21875, 295524.21875, 295524.21875, 414259], 'network_activity_samples': [0, 0, 0, 141003], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [31.850400924682617, 31.594038009643555, 31.34222984313965, 31.08548927307129], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 16.593753}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 531', 'bandwidth_kbps': '3236 Kbps', 'buffer_health_seconds': '39.16 s', 'date': 'Fri Jun 14 2024 16:02:11 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:17.59 b:0.000-56.690  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [414259, 414259, 414259, 414259], 'network_activity_samples': [288077, 274837, 133, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [35.42855453491211, 37.76175308227539, 39.4088249206543, 39.15784454345703], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 17.586534}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 561', 'bandwidth_kbps': '3236 Kbps', 'buffer_health_seconds': '38.12 s', 'date': 'Fri Jun 14 2024 16:02:12 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:18.59 b:0.000-56.690  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [414259, 414259, 414259, 414259], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [38.907535552978516, 38.65678405761719, 38.3705940246582, 38.11725616455078], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 18.58761}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 591', 'bandwidth_kbps': '3236 Kbps', 'buffer_health_seconds': '37.11 s', 'date': 'Fri Jun 14 2024 16:02:13 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:19.61 b:0.000-56.690  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [414259, 414259, 414259, 414259], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [37.859466552734375, 37.609092712402344, 37.35838317871094, 37.107765197753906], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.049359102706872576, 'current_time': 19.606298}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 621', 'bandwidth_kbps': '3755 Kbps', 'buffer_health_seconds': '43.36 s', 'date': 'Fri Jun 14 2024 16:02:14 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:20.59 b:0.000-63.697  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [480629.1875, 480629.1875, 480629.1875], 'network_activity_samples': [232939, 179186, 0], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [36.85342025756836, 43.609222412109375, 43.358646392822266], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.055459992459867956, 'current_time': 20.586487}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 651', 'bandwidth_kbps': '3755 Kbps', 'buffer_health_seconds': '42.34 s', 'date': 'Fri Jun 14 2024 16:02:15 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:21.59 b:0.000-63.697  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [480629.1875, 480629.1875, 480629.1875, 480629.1875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [43.10467529296875, 42.84910583496094, 42.591434478759766, 42.3405647277832], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.055459992459867956, 'current_time': 21.58657}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 681', 'bandwidth_kbps': '3755 Kbps', 'buffer_health_seconds': '41.34 s', 'date': 'Fri Jun 14 2024 16:02:16 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:22.59 b:0.000-63.697  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [480629.1875, 480629.1875, 480629.1875, 480629.1875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [42.08884811401367, 41.838600158691406, 41.588050842285156, 41.33763885498047], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.055459992459867956, 'current_time': 22.58652}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 711', 'bandwidth_kbps': '3755 Kbps', 'buffer_health_seconds': '40.30 s', 'date': 'Fri Jun 14 2024 16:02:17 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:23.59 b:0.000-63.697  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [480629.1875, 480629.1875, 480629.1875, 480629.1875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [41.087318420410156, 40.837642669677734, 40.58642578125, 40.29603958129883], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.055459992459867956, 'current_time': 23.58655}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 741', 'bandwidth_kbps': '3755 Kbps', 'buffer_health_seconds': '39.25 s', 'date': 'Fri Jun 14 2024 16:02:18 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:24.59 b:0.000-63.697  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [480629.1875, 480629.1875, 480629.1875, 480629.1875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [40.04189682006836, 39.79109573364258, 39.540733337402344, 39.25205993652344], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.055459992459867956, 'current_time': 24.586827}
